Restaurant,Food Category,Item_Name,Item Description 2015,Servings Per Item 2015,Serving Size 2015,Serving Size Unit 2015,Servings Size Text 2015,Calories 2015,Carbohydrates (g) 2015,Protein (g) 2015,Menu_Item_ID
Subway,Salads,Turkey Breast & Ham Salad,"Turkey Breast & Ham Salad w/ Black Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing or Cheese, Salads, Chopped Salad Meal; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,341,g,,110,12,12,27217
Subway,Salads,"Turkey Breast & Ham, Low Fat Chopped Salad","Turkey Breast & Ham w/ Lettuce, Spinach, Tomatoes, Cucumbers, Onions, Green Peppers & Olives, Low Fat Chopped Salad, Salads",,342,g,,110,12,12,102295
Subway,Salads,Turkey Breast Salad,"Turkey Breast Salad w/ Black Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing or Cheese, Low Fat Chopped Salad, Salads; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,341,g,,110,12,12,1895
Subway,Salads,Veggie Delite Salad,"Veggie Delite Salad w/ Black Olives, Cucumbers, Green Peppers, Red Onions, Spinach & Tomatoes w/out Dressing or Cheese, Salads; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,284,g,,60,10,3,1861
Subway,Salads,"Veggie Delite, Low Fat Chopped Salad","Veggie Delite w/ Lettuce, Spinach, Tomatoes, Cucumbers, Onions, Green Peppers & Olives, Low Fat Chopped Salad, Salads",,286,g,,50,9,3,102296
Subway,Sandwiches,"Bacon, Egg & Cheese Omelet on Flatbread, 6 in","Bacon, Egg & Cheese Omelet on Flatbread w/ Regular Egg, Breakfast & Pizza, 6 in",,192,g,,420,42,22,23957
Subway,Sandwiches,"Bacon, Egg & Cheese on Flatbread, 3 in","Bacon, Egg & Cheese on Flatbread, Breakfast, 3 in",,96,g,,210,21,11,23956
Subway,Sandwiches,"Bacon, Egg & Cheese, 6 in","Bacon, Egg & Cheese on 9 Grain Wheat Bread w/ American Cheese w/out Veggie or Sauce, 6 in Omelet Sandwiches, Breakfast, 6 in",,183,g,,410,45,23,23851
Subway,Sandwiches,"Bacon, Egg & Cheese, Breakfast, Footlong","Bacon, Egg & Cheese, Breakfast, Footlong",,366,g,,820,90,46,102301
Subway,Sandwiches,"Bacon, Egg White & Cheese Omelet on Flatbread, 6 in","Bacon, Egg White & Cheese Omelet on Flatbread, Breakfast & Pizza, 6 in",,192,g,,380,43,22,23958
Subway,Sandwiches,"Bacon, Egg White & Cheese Omelet Sandwich, 6 in","Bacon, Egg White & Cheese Omelet Sandwich on 9 Grain Wheat Bread w/ Egg White, 6 in Omelet Sandwich, Breakfast, 6 in",,184,g,,370,45,23,23852
Subway,Sandwiches,"Bacon, Egg White & Cheese on Flatbread, 3 in","Bacon, Egg White & Cheese on Flatbread, Breakfast, 3 in",,96,g,,190,21,11,24020
Subway,Sandwiches,"Barbecue Rib Patty, 6 in","Barbecue Rib Patty on 9 Grain Wheat Bread w/ Lettuce, Tomatoes, Onions, Green Peppers & Cucumbers, 6 in Limited Time Offer, Regional Subs, Sandwiches, 6 in; Choice in Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,163,g,,430,47,19,23854
