Restaurant ,Food Category ,Item_Name ,Item Description 2015 ,Servings Per Item 2015 ,Serving Size 2015 ,Serving Size Unit 2015 ,Servings Size Text 2015 ,Calories 2015 ,Protein (g) 2015 ,Menu_Item_ID
Burger King,Burgers,Whopper Sandwich w/ Cheese,"Whopper Sandwich on a Sesame Seed Bun w/ Cheese, Tomatoes, Lettuce, Onions, Ketchup & Pickles w/out Mayo, Whopper Sandwiches",,314,g,,680,30,11528
Burger King,Burgers,Whopper Sandwich w/ Cheese & Mayo,"Whopper Sandwich on a Sesame Seed Bun w/ Cheese, Mayo, Tomatoes, Lettuce, Onions, Ketchup & Pickles, Whopper Sandwiches",,312,g,,730,26,21
Burger King,Burgers,Whopper Sandwich w/ Mayo,"Whopper Sandwich on a Sesame Seed Bun w/ Mayo, Tomatoes, Lettuce, Onions, Ketchup & Pickles, Whopper Sandwiches",,290,g,,650,22,18
Burger King,Entrees,10 Chicken Nuggets,"10 Chicken Nuggets, Chicken & More; Choice of Adding: Dipping Sauces",,175,g,10 Pieces,470,21,29249
Burger King,Entrees,"	2 Home-Style Chicken Strips","	2 Home-Style Chicken Strips, Entrees, Kids Meals",,90,g,,230,15,29244
Burger King,Entrees,3 Buffalo Chicken Strips,"3 Buffalo Chicken Strips, Chicken & More; Choice of Adding: Ranch",,163,g,3 Strips,380,22,91365
Burger King,Entrees,3 Chicken Strips,"3 Chicken Strips, Chicken & More; Choice of Adding: Dipping Sauce",,135,g,,340,22,29245
Burger King,Entrees,3 French Toast Sticks,"3 French Toast Sticks, Breakfast; Choice of Adding: Sweet Syrup",,65,g,3 Pieces,230,3,3782
Burger King,Entrees,3 Honey BBQ Chicken Strips,"3 Honey BBQ Chicken Strips, Chicken & More",,178,g,3 Strips,410,22,91367
Burger King,Entrees,3 Pancakes,"3 Pancakes w/ 1 oz Breakfast Syrup, Breakfast",,187,g,,490,5,11566
Burger King,Entrees,4 Chicken Nuggets,"4 Chicken Nuggets, Chicken & More, Entrees, Kids Meals, Kids & Adults, King Deals Value Menu; Choice of Adding: Dipping Sauces",,70,g,4 Pieces,190,8,29247
Burger King,Entrees,5 Buffalo Chicken Strips,"5 Buffalo Chicken Strips, Chicken & More; Choice of Adding: Ranch",,268,g,5 Strips,620,37,91366
Burger King,Entrees,5 Chicken Strips,"5 Chicken Strips, Chicken & More; Choice of Adding: Dipping Sauce",,225,g,,570,36,29246
Burger King,Entrees,5 French Toast Sticks,"5 French Toast Sticks, Breakfast; Choice of Adding: Sweet Syrup",,109,g,5 Pieces,380,5,3783
Burger King,Entrees,5 Honey BBQ Chicken Strips,"5 Honey BBQ Chicken Strips, Chicken & More",,289,g,5 Strips,690,37,91368
Burger King,Entrees,6 Chicken Nuggets,"6 Chicken Nuggets, Chicken & More, Entrees, Kids Meals, Kids & Adults; Choice of Adding: Dipping Sauces",,105,g,6 Pieces,280,13,29248
Burger King,Entrees,BK Ultimate Breakfast Platter,"BK Ultimate Breakfast Platter w/ Hash Rounds, Eggs, Bacon, Sausage, Biscuit, Pancake & Breakfast Syrup, Breakfast",,511,g,,1420,36,11542
Burger King,Entrees,Fruit Topped Maple Flavored Quaker Oatmeal,"Fruit Topped Maple Flavored Quaker Oatmeal, Breakfast",,"	-", ,,270,5,29322
Burger King,Entrees,Kids Oatmeal,"Kids Oatmeal, Entrees, Kids Meals; Choice of Adding: Dried Fruit Topping",,167,g,,170,4,11557
