Restaurant,Food Category,Item_Name,Item Description 2015,Servings Per Item 2015,Serving Size 2015,Serving Size Unit 2015,Servings Size Text 2015,Calories 2015,Carbohydrates (g) 2015,Protein (g) 2015,Menu_Item_ID
Taco Bell,Sandwiches,"	A.M. Crunchwrap w/ Sausage","	A.M. Crunchwrap w/ Sausage, Warm Flour Tortilla, Golden Crispy Hashbrown, Fluffy Scrambled Eggs, Real Cheddar Cheese & Creamy Jalapeno Sauce, Breakfast, Specialties",,221,g,1 Crunchwrap,710,51,21,34606
Taco Bell,Sandwiches,"	A.M. Crunchwrap w/ Steak","	A.M. Crunchwrap w/ Marinated Premium Thick Cut Steak, Warm Flour Tortilla, Fluffy Scrambled Eggs, Golden Crispy Hash Brown, Real Cheddar Cheese & Creamy Jalapeno Sauce, Breakfast, Specialties",,235,g,1 Crunchwrap,650,51,26,102422
Taco Bell,Sandwiches,"	A.M. Grilled Taco w/ Bacon","	A.M. Grilled Taco w/ Bacon, Melted Cheddar Cheese, Fluffy Scrambled Eggs & Warm Tortilla, Breakfast",,78,g,,230,15,12,102408
Taco Bell,Sandwiches,"	A.M. Grilled Taco w/ Egg & Cheese","	A.M. Grilled Taco w/ Egg, Cheese & Warm Tortilla, Breakfast",,64,g,1 Taco,170,15,7,102432
Taco Bell,Sandwiches,"	A.M. Grilled Taco w/ Sausage","	A.M. Grilled Taco w/ Sausage, Warm Tortilla, Fluffy Scrambled Eggs & Melted Cheddar Cheese, Breakfast",,78,g,,220,15,9,64365
Taco Bell,Sandwiches,Bean Burrito,"Bean Burrito w/ Warm Soft Flour Tortilla, Hearty Beans, Real Cheddar Cheese, Tangy Red Sauce & Diced Onions, Burritos",,190,g,1 Burrito,370,55,15,2707
Taco Bell,Sandwiches,"	Beefy 5-Layer Burrito","	Beefy 5-Layer Burrito w/ Flour Tortilla, Layers of Seasoned Beef, Beans, Real Cheddar Cheese, Reduced Fat Sour Cream & Nacho Cheese Sauce, Burritos, Fresco Option For a 25 % Reduction In Fat",,230,g,1 Burrito,510,64,19,24329
Taco Bell,Sandwiches,Beefy Fritos Burrito,"Beefy Fritos Burrito, Beef w/ Flour Tortilla, Frito Chips, Latin Rice & Warm Nacho Cheese Sauce, Cravings, Burritos",,181,g,1 Burrito,440,55,13,102410
Taco Bell,Sandwiches,Beefy Nacho Griller,"Beefy Nacho Griller w/ Beef, Warm Flour Tortilla, Nacho Cheese Sauce & Crisp Red Strips, Specialties, Fresco Option For a 25% Reduction In Fat",,156,g,1 Griller,400,48,12,34586
Taco Bell,Sandwiches,Black Bean Burrito,"Black Bean Burrito w/ Warm Flour Tortilla, Latin Rice, Black Beans, 3 Cheese Blend & Tangy Red Sauce, Burritos, Fresco Option For a 25% Reduction In Fat",,204,g,1 Burrito,390,57,14,34584
Taco Bell,Sandwiches,Burrito Supreme w/ Beef,"Burrito Supreme w/ Seasoned Beef, Warm Soft Flour Tortilla, Hearty Beans, Tangy Red Sauce, Crisp Shredded Lettuce, Real Cheddar Cheese, Diced Onions, Diced Ripe Tomatoes & Reduced Fat Sour Cream, Burritos, Fresco Option for a 25% Reduction in Fat",,240,g,1 Burrito,410,51,17,2713
Taco Bell,Sandwiches,Burrito Supreme w/ Chicken,"Burrito Supreme w/ Marinated All White Meat Chicken, Warm Soft Flour Tortilla, Hearty Beans, Tangy Red Sauce, Crisp Shredded Lettuce, Real Cheddar Cheese, Diced Onions, Diced Ripe Tomatoes & Reduced Fat Sour Cream, Burritos, Fresco Option for a 25% Reduction in Fat",,240,g,,390,50,21,2714
Taco Bell,Sandwiches,Burrito Supreme w/ Steak,"Burrito Supreme w/ Marinated Premium Thick Cut Steak, Warm Soft Flour Tortilla, Hearty Beans, Tangy Red Sauce, Crisp Shredded Lettuce, Real Cheddar Cheese, Diced Onions, Diced Ripe Tomatoes & Reduced Fat Sour Cream, Burritos, Fresco Option For a 25% Reduction in Fat",,240,g,1 Burrito,400,49,20,2715
Taco Bell,Sandwiches,"	California A.M. Crunchwrap","	California A.M. Crunchwrap w/ Warm Flour Tortilla, Golden Crispy Hashbrown, Fluffy Scrambled Eggs, Flavorful Bacon, Chunky Guacamole, Real Cheddar Cheese & Freshly Prepared Pico De Gallo, Breakfast, Fresco Option For a 25% Reduction In Fat",,235,g,1 Crunchwrap,630,52,22,102417
Taco Bell,Sandwiches,Cantina Power Burrito w/ Chicken,"Cantina Power Burrito w/ Chicken, Warm Flour Tortilla, Romaine Lettuce, Guacamole, Pico De Gallo, Avocado Ranch Dressing, Real Cheddar Cheese & Reduced Fat Sour Cream, Burritos, Fresco Option For a 25% Reduction In Fat",,265,g,,460,43,28,102438
Taco Bell,Sandwiches,Cantina Power Burrito w/ Steak,"Cantina Power Burrito w/ Marinated & Grilled Thick Cut Steak, Warm Flour Tortilla, Romaine Lettuce, Guacamole, Pico De Gallo, Avocado Ranch Dressing, Real Cheddar Cheese & Reduced Fat Sour Cream, Burritos, Fresco Option For a 25% Reduction In Fat",,265,g,1 Burrito,470,41,28,102411
Taco Bell,Sandwiches,Cantina Power Burrito w/ Veggie,"Cantina Power Burrito w/ Veggie, Warm Flour Tortilla, Romaine Lettuce, Guacamole, Pico De Gallo, Avocado Ranch Dressing, Real Cheddar Cheese & Reduced Fat Sour Cream, Burritos, Fresco Option For a 25% Reduction In Fat",,242,g,1 Burrito,430,52,15,102439
