Restaurant,Food Category,Item_Name,Item Description 2015,Servings Per Item 2015,Serving Size 2015,Serving Size Unit 2015,Servings Size Text 2015,Calories 2015,Carbohydrates (g) 2015,Protein (g) 2015,Menu_Item_ID
Taco Bell,Sandwiches,MexiMelt,"MexiMelt w/ Warm Flour Tortilla, Seasoned Beef, 3 Cheese Blend & Pico De Gallo, Specialties; Choice of: Marinated & Grilled All White Meat Chicken or Marinated Premium Thick Cut Steak Instead of Seasoned Beef, Fresco Option for a 25% Reduction In Fat",,120,g,1 Item,250,19,14,2773
Taco Bell,Sandwiches,"Nacho Cheese Doritos Locos Taco Supreme, Beef","Nacho Cheese Doritos Locos Taco Supreme, Beef w/ Crisp Lettuce, Diced Juicy Red Ripe Tomatoes, Real Cheddar Cheese, Reduced Fat Sour Cream & Shell Made From Nacho Cheese Doritos Chips, Tacos, Fresco Option For a 25% Reduction In Fat",,113,g,1 Taco,200,15,9,64352
Taco Bell,Sandwiches,"Nacho Cheese Doritos Locos Tacos, Beef","Nacho Cheese Doritos Locos Tacos, Beef w/ Crisp Lettuce & Real Cheddar Cheese, Shell Made From Nacho Cheese Doritos Chips, Tacos, Fresco Option For a 25% Reduction In Fat",,78,g,1 Taco,170,13,8,64359
Taco Bell,Sandwiches,Sausage Flatbread Melt,"Sausage Flatbread Melt w/ Sausage Patty, Warm Flatbread & Real Cheddar Cheese, Breakfast",,89,g,1 Item,300,27,11,102424
Taco Bell,Sandwiches,Smothered Burrito w/ Beef,"Smothered Burrito w/ Beef, Latin Rice, Hearty Beans, Creamy Chipotle Sauce, Red Sauce, Melted Cheeses & Reduced Fat Sour Cream, Burritos, Fresco Option For a 25% Reduction In Fat",,387,g,,700,68,28,64355
Taco Bell,Sandwiches,Smothered Burrito w/ Shredded Chicken,"Smothered Burrito w/ Shredded Chicken, Latin Rice, Hearty Beans, Creamy Chipotle Sauce, Red Sauce, Melted Cheeses & Reduced Fat Sour Cream, Burritos, Fresco Option For a 25% Reduction In Fat",,387,g,1 Burrito,650,65,34,64353
Taco Bell,Sandwiches,Smothered Burrito w/ Steak,"Smothered Burrito w/ Marinated Premium Thick Cut Steak, Latin Rice, Hearty Beans, Creamy Chipotle Sauce, Red Sauce, Melted Cheeses & Reduced Fat Sour Cream, Burritos, Fresco Option For a 25% Reduction In Fat",,387,g,1 Burrito,700,68,28,64354
Taco Bell,Sandwiches,"Soft Taco Supreme, Beef","Soft Taco Supreme, Beef w/ Flour Tortilla, Reduced Fat Sour Cream, Crisp Shredded Lettuce, Real Cheddar Cheese & Diced Ripe Tomatoes, Tacos, Fresco Option For a 25% Reduction in Fat; Choice of: All White Meat Chicken or Marinated Premium Thick Cut Steak Instead of Seasoned Beef",,128,g,1 Taco,220,20,10,2746
Taco Bell,Sandwiches,Soft Taco w/ Beef,"Soft Taco w/ Beef, Tacos",,92,g,,190,17,9,2741
Taco Bell,Sandwiches,Spicy Chicken Cool Ranch DLT Supreme,"Spicy Chicken Cool Ranch DLT Supreme, Tacos",,113,g,,170,14,11,102442
Taco Bell,Sandwiches,Spicy Potato Soft Taco,"Spicy Potato Soft Taco, w/ Warm Soft Tortilla, Crispy Potato Bites, Crisp Shredded Lettuce, Real Cheddar Cheese & Creamy Chipotle Sauce, Tacos, Cravings, Fresco Option For a 25% Reduction In Fat",,98,g,1 Taco,250,28,6,102409
Taco Bell,Sandwiches,Waffle Taco w/ Bacon,"Waffle Taco w/ Bacon, Warm Waffle, Fluffy Scrambled Eggs & Cheese, Breakfast; Choice of Adding: Sweet Syrup",,103,g,1 Taco,320,28,13,102421
Taco Bell,Sandwiches,Waffle Taco w/ Egg & Cheese,"Waffle Taco w/ Egg, Cheese & Warm Waffle, Breakfast; Choice of Adding: Sweet Syrup",,88,g,1 Taco,260,27,8,102437
Taco Bell,Sandwiches,Waffle Taco w/ Sausage,"Waffle Taco w/ Sausage, Warm Waffle, Fluffy Scrambled Eggs & Cheese, Breakfast; Choice of Adding: Sweet Syrup",,117,g,,370,28,12,102420
Taco Bell,Sandwiches,XXL Grilled Stuft Burrito w/ Beef,"XXL Grilled Stuft Burrito w/ Beef, Warm Flour Tortilla, 3 Cheese Blend, Latin Rice, Hearty Beans, Reduced Fat Sour Cream, Chunky Guacamole, Avocado Ranch & Pico De Gallo, Burritos, Fresco Option For a 25% Reduction In Fat",,434,g,1 Burrito,870,91,32,24397
Taco Bell,Sandwiches,XXL Grilled Stuft Burrito w/ Chicken,"XXL Grilled Stuft Burrito w/ Chicken, Warm Flour Tortilla, 3 Cheese Blend, Latin Rice, Hearty Beans, Reduced Fat Sour Cream, Chunky Guacamole, Avocado Ranch & Pico De Gallo, Burritos, Fresco Option For a 25% Reduction In Fat",,434,g,1 Burrito,830,90,40,24398
Taco Bell,Sandwiches,XXL Grilled Stuft Burrito w/ Steak,"XXL Grilled Stuft Burrito w/ Steak, Warm Flour Tortilla, 3 Cheese Blend, Latin Rice, Hearty Beans, Reduced Fat Sour Cream, Chunky Guacamole, Avocado Ranch & Pico De Gallo, Burritos, Fresco Option For a 25% Reduction In Fat",,434,g,1 Burrito,840,88,40,24399
